num__capital_prestado,num__plazo_meses,num__edad_cliente,num__salario_cliente,num__total_otros_prestamos,num__cuota_pactada,num__cant_creditosvigentes,num__creditos_sectorFinanciero,num__creditos_sectorCooperativo,num__creditos_sectorReal,num__promedio_ingresos_datacredito,cat__tipo_laboral_Empleado,cat__tipo_laboral_Independiente
3896520.0,10.0,36.0,5000000.0,3000000.0,359600.0,9.0,2.0,0.0,1.0,908526.0,1.0,0.0
672000.0,6.0,31.0,3000000.0,1200000.0,99901.0,1.0,0.0,0.0,1.0,1210000.0,0.0,1.0
3450000.0,6.0,44.0,4000000.0,2000000.0,516685.0,9.0,5.0,0.0,3.0,1080000.0,0.0,1.0
1183887.5999999999,10.0,66.0,3000000.0,1800000.0,100570.0,6.0,3.0,2.0,0.0,1200000.0,0.0,1.0
2414822.4,9.0,65.0,0.0,0.0,225200.0,5.0,3.0,0.0,0.0,905161.0,0.0,1.0
2320164.0,24.0,40.0,1900000.0,1000000.0,101973.0,4.0,2.0,1.0,1.0,1972108.0,1.0,0.0
2068800.0,6.0,60.0,15000000.0,3700000.0,307553.0,7.0,2.0,0.0,3.0,1211368.0,1.0,0.0
2233080.0,10.0,42.0,4800000.0,2000000.0,206421.0,2.0,1.0,0.0,0.0,4237572.0,0.0,1.0
2306094.0,9.0,54.0,9500000.0,4500000.0,215575.0,6.0,4.0,0.0,0.0,925157.0,0.0,1.0
3201120.0,6.0,27.0,3000000.0,1500000.0,474803.0,4.0,1.0,0.0,1.0,1464285.0,1.0,0.0
2368477.1999999997,4.0,56.0,5000000.0,2000000.0,475840.0,7.0,6.0,0.0,0.0,1210000.0,0.0,1.0
8640000.0,36.0,68.0,15000000.0,5000000.0,279360.0,3.0,1.0,1.0,1.0,1210000.0,0.0,1.0
3412038.0,10.0,48.0,3500000.0,1790000.0,290457.0,12.0,6.0,3.0,1.0,7427469.0,0.0,1.0
2841260.4,11.0,55.0,3100000.0,1500000.0,221310.0,3.0,1.0,1.0,0.0,1210000.0,1.0,0.0
3915000.0,12.0,24.0,4000000.0,2000000.0,306174.0,9.0,2.0,1.0,1.0,1210000.0,0.0,1.0
1872000.0,24.0,31.0,3600000.0,450000.0,83416.0,3.0,1.0,0.0,1.0,810465.0,0.0,1.0
3609600.0,6.0,43.0,2000000.0,3000000.0,536976.0,3.0,0.0,0.0,1.0,978210.0,0.0,1.0
1487880.0,12.0,29.0,2500000.0,500000.0,103325.0,2.0,2.0,0.0,0.0,890463.0,1.0,0.0
1495200.0,6.0,50.0,3400000.0,1000000.0,222280.0,3.0,1.0,0.0,0.0,1210000.0,1.0,0.0
1419600.0,6.0,39.0,2630000.0,560000.0,216225.0,2.0,1.0,0.0,0.0,1210000.0,0.0,1.0
1488254.4,10.0,62.0,3698015.0,1365944.0,126426.0,6.0,3.0,0.0,2.0,931394.0,0.0,1.0
