num__capital_prestado,num__plazo_meses,num__edad_cliente,num__salario_cliente,num__total_otros_prestamos,num__cuota_pactada,num__cant_creditosvigentes,num__creditos_sectorFinanciero,num__creditos_sectorCooperativo,num__creditos_sectorReal,num__promedio_ingresos_datacredito,cat__tipo_laboral_Empleado,cat__tipo_laboral_Independiente
2201137.1999999997,10.0,35.0,1900000.0,1300000.0,186984.0,0.0,0.0,0.0,0.0,1376649.0,1.0,0.0
990060.0,12.0,35.0,4000000.0,1500000.0,77538.0,6.0,4.0,0.0,1.0,4331963.0,1.0,0.0
2391360.0,12.0,27.0,1900000.0,450000.0,166067.0,6.0,3.0,0.0,0.0,1586622.0,1.0,0.0
1929896.4,6.0,57.0,9000000.0,3000000.0,287616.0,3.0,2.0,0.0,0.0,800000.0,1.0,0.0
1608000.0,12.0,59.0,1300000.0,150000.0,127114.0,5.0,0.0,0.0,4.0,1210000.0,0.0,1.0
821208.0,5.0,38.0,5000000.0,2000000.0,133380.0,13.0,4.0,0.0,3.0,946640.0,0.0,1.0
1783080.0,6.0,39.0,5200000.0,2000000.0,265719.0,4.0,2.0,0.0,1.0,1210000.0,1.0,0.0
4822471.2,5.0,32.0,2500000.0,1200000.0,783260.0,3.0,2.0,0.0,0.0,1016501.0,1.0,0.0
1269000.0,2.0,40.0,5000000.0,2000000.0,500798.0,2.0,1.0,0.0,1.0,954500.0,0.0,1.0
1245224.4,10.0,23.0,1400000.0,700000.0,105614.0,4.0,3.0,0.0,0.0,1210000.0,1.0,0.0
2028775.2,9.0,47.0,3000000.0,2000000.0,191805.0,3.0,2.0,0.0,0.0,2281781.0,1.0,0.0
821208.0,2.0,33.0,5000000.0,2000000.0,324034.0,5.0,2.0,0.0,2.0,1185530.0,0.0,1.0
2412600.0,6.0,41.0,8000000.0,3000000.0,335083.0,1.0,0.0,0.0,0.0,3193333.0,1.0,0.0
3101736.0,4.0,39.0,8000000.0,0.0,623004.0,10.0,5.0,0.0,2.0,908526.0,1.0,0.0
3974400.0,36.0,30.0,1400000.0,168000.0,137290.0,11.0,4.0,0.0,2.0,1236666.0,0.0,1.0
720000.0,6.0,65.0,3000000.0,600000.0,106940.0,1.0,0.0,0.0,0.0,1210000.0,1.0,0.0
1200000.0,6.0,57.0,3000000.0,1000000.0,166667.0,1.0,0.0,0.0,0.0,6703319.0,1.0,0.0
3384000.0,6.0,42.0,4000000.0,1600000.0,508692.0,10.0,9.0,0.0,0.0,1210000.0,0.0,1.0
599880.0,6.0,31.0,2500000.0,1200000.0,83317.0,5.0,3.0,0.0,0.0,916148.0,0.0,1.0
3910100.4,11.0,62.0,2500000.0,500000.0,304216.0,5.0,3.0,0.0,0.0,1210000.0,1.0,0.0
1530000.0,12.0,57.0,1000000.0,0.0,120120.0,6.0,0.0,0.0,6.0,1210000.0,0.0,1.0
1127880.0,6.0,37.0,4000000.0,2000000.0,156650.0,3.0,1.0,0.0,1.0,4000000.0,1.0,0.0
1998624.0,6.0,26.0,2630000.0,488000.0,301867.0,4.0,2.0,0.0,1.0,676873.0,1.0,0.0
1297920.0,6.0,41.0,3000000.0,1500000.0,193735.0,4.0,3.0,0.0,0.0,4572280.0,1.0,0.0
680280.0,6.0,30.0,4200000.0,800000.0,101138.0,3.0,0.0,0.0,3.0,1210000.0,0.0,1.0
957621.6,9.0,33.0,3000000.0,1000000.0,89434.0,9.0,6.0,0.0,1.0,905965.0,1.0,0.0
3317760.0,6.0,63.0,2600000.0,500000.0,494421.0,5.0,2.0,0.0,0.0,949069.0,1.0,0.0
2400000.0,8.0,40.0,4000000.0,2000000.0,272289.0,2.0,0.0,1.0,0.0,1210000.0,0.0,1.0
